OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,num_of_clf_that_decide
855whqe,acc,88,37,7837,14,0.06818181818181818,0.0,0.0,0.05405405405405406,0.0,0.0,0.4474616024134917,39.285714285714285,1
855whqe,gyr,88,37,7666,14,0.3977272727272727,0.045454545454545456,4.0,0.7027027027027027,0.05405405405405406,2.0,0.23660058037912027,8.714285714285714,1
855whqe,swp,254,108,11508,14,0.24015748031496062,0.0,0.0,0.2037037037037037,0.0,0.0,0.08865799011377208,3.4285714285714284,1
855whqe,tap,0,0,0,0,,,,,,,,,1
ap1oez8,acc,145,55,7762,14,0.034482758620689655,0.0,0.0,0.4,0.10909090909090909,6.0,0.15439065395955234,4.071428571428571,1
ap1oez8,gyr,144,56,7591,14,0.3958333333333333,0.020833333333333332,3.0,0.17857142857142858,0.0,0.0,0.3777378928139408,26.571428571428573,1
ap1oez8,swp,253,107,11510,14,0.1067193675889328,0.0,0.0,0.3925233644859813,0.056074766355140186,6.0,0.15611111479828926,5.285714285714286,1
ap1oez8,tap,0,0,0,0,,,,,,,,,1
3zd4fdk,acc,205,84,7673,14,0.014634146341463415,0.0,0.0,0.047619047619047616,0.0,0.0,0.24390976338703413,33.57142857142857,1
3zd4fdk,gyr,206,84,7501,14,0.38349514563106796,0.009708737864077669,2.0,0.40476190476190477,0.047619047619047616,4.0,0.33442406054395457,14.428571428571429,1
3zd4fdk,swp,361,154,11355,14,0.0997229916897507,0.0,0.0,0.21428571428571427,0.006493506493506494,1.0,0.09778140750931859,4.928571428571429,1
3zd4fdk,tap,0,0,0,0,,,,,,,,,1
r13q05q,acc,748,226,6988,14,0.009358288770053475,0.0,0.0,0.03982300884955752,0.01327433628318584,3.0,0.17292959363531768,31.357142857142858,1
r13q05q,gyr,646,254,6891,14,0.39164086687306504,0.05727554179566564,37.0,0.41732283464566927,0.07086614173228346,18.0,0.19998220481817386,7.285714285714286,1
r13q05q,swp,357,152,11361,14,0.10084033613445378,0.0056022408963585435,2.0,0.07236842105263158,0.0,0.0,0.24212964884307575,9.5,1
r13q05q,tap,0,0,0,0,,,,,,,,,1
ha3ev43,acc,115,49,7798,14,0.008695652173913044,0.0,0.0,0.3877551020408163,0.04081632653061224,2.0,0.23832756009125425,14.428571428571429,1
ha3ev43,gyr,115,48,7628,14,0.391304347826087,0.017391304347826087,2.0,0.5208333333333334,0.08333333333333333,4.0,0.19154820430918032,4.142857142857143,1
ha3ev43,swp,260,110,11500,14,0.23846153846153847,0.019230769230769232,5.0,0.3181818181818182,0.01818181818181818,2.0,0.21659090075568227,22.5,1
ha3ev43,tap,0,0,0,0,,,,,,,,,1
l1doqao,acc,632,262,7068,14,0.012658227848101266,0.0,0.0,0.05725190839694656,0.0,0.0,0.11173664314152651,54.92857142857143,1
l1doqao,gyr,632,262,6897,14,0.39082278481012656,0.02531645569620253,16.0,0.4732824427480916,0.04961832061068702,13.0,0.15513477828562255,4.642857142857143,1
l1doqao,swp,742,317,10811,14,0.1320754716981132,0.0013477088948787063,1.0,0.11356466876971609,0.0031545741324921135,1.0,0.19693972253455305,3.7857142857142856,1
l1doqao,tap,0,0,0,0,,,,,,,,,1
b0602fr,acc,522,223,7217,14,0.011494252873563218,0.0,0.0,0.004484304932735426,0.0,0.0,0.5836317684943685,142.71428571428572,1
